epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11298.8,1.35405,1.01436,1.29783,0.8523,0.76411,0.85204,0.52023,1.35395,0.88796,1.27729,0.000990365,0.000990365,0.000990365
43,11355.9,1.33055,0.97144,1.29104,0.87518,0.83128,0.87063,0.56054,1.31532,0.81591,1.25436,0.000973861,0.000973861,0.000973861
44,11413.4,1.33452,0.96659,1.28564,0.87711,0.76814,0.86463,0.51189,1.32613,0.82769,1.27068,0.000957358,0.000957358,0.000957358
45,11471.2,1.28091,0.97035,1.28912,0.92287,0.74747,0.83725,0.51726,1.28778,0.84614,1.25129,0.000940855,0.000940855,0.000940855
46,11527.3,1.28411,0.94063,1.29573,0.84547,0.80952,0.83515,0.5227,1.23816,0.82239,1.21664,0.000924352,0.000924352,0.000924352
47,11583.3,1.30034,0.95395,1.30833,0.84974,0.84127,0.86556,0.52363,1.30514,0.81169,1.25357,0.000907848,0.000907848,0.000907848
48,11639.2,1.31491,0.96465,1.29918,0.78863,0.76575,0.86149,0.5499,1.25413,0.80951,1.22211,0.000891345,0.000891345,0.000891345
49,11694.5,1.26652,0.96343,1.28031,0.89232,0.77522,0.84835,0.48592,1.36036,0.81648,1.25609,0.000874842,0.000874842,0.000874842
50,11750,1.30976,0.92776,1.27953,0.83388,0.79012,0.82873,0.48773,1.29752,0.80108,1.21128,0.000858338,0.000858338,0.000858338
51,11806.1,1.29001,0.91923,1.26819,0.81103,0.83748,0.8861,0.56251,1.25686,0.73708,1.19369,0.000841835,0.000841835,0.000841835
52,11863.4,1.33577,0.93671,1.30513,0.75014,0.82195,0.85605,0.53724,1.25161,0.78235,1.20205,0.000825332,0.000825332,0.000825332
53,11919.7,1.28096,0.92104,1.2869,0.80222,0.83768,0.87655,0.57347,1.20276,0.80277,1.18688,0.000808828,0.000808828,0.000808828
54,11976.1,1.21589,0.86928,1.24415,0.88726,0.81166,0.88757,0.56977,1.21069,0.75315,1.18595,0.000792325,0.000792325,0.000792325
55,12032.1,1.25289,0.888,1.25608,0.88337,0.86616,0.95181,0.61344,1.18842,0.73477,1.178,0.000775822,0.000775822,0.000775822
56,12088.7,1.26526,0.87585,1.27204,0.92372,0.82143,0.91841,0.61071,1.1759,0.70391,1.17782,0.000759318,0.000759318,0.000759318
57,12143.3,1.23838,0.89115,1.27205,0.82136,0.8373,0.86681,0.55509,1.18406,0.74095,1.18621,0.000742815,0.000742815,0.000742815
58,12199.3,1.25771,0.89591,1.29534,0.93622,0.87397,0.93377,0.64294,1.16018,0.6854,1.17293,0.000726312,0.000726312,0.000726312
59,12254.1,1.19969,0.87959,1.24275,0.94569,0.88142,0.92259,0.57052,1.21822,0.70743,1.19786,0.000709809,0.000709809,0.000709809
60,12308.6,1.22452,0.88212,1.24992,0.89374,0.90476,0.91797,0.59609,1.19204,0.67816,1.18073,0.000693305,0.000693305,0.000693305
61,12364.1,1.19869,0.81543,1.26119,0.89525,0.89683,0.95069,0.63286,1.18801,0.66397,1.17219,0.000676802,0.000676802,0.000676802
62,12419.2,1.20373,0.80128,1.20751,0.91936,0.93498,0.96738,0.63276,1.16266,0.67215,1.15204,0.000660299,0.000660299,0.000660299
63,12474.5,1.20697,0.86175,1.24977,0.87645,0.87116,0.92369,0.61446,1.13547,0.69142,1.15422,0.000643795,0.000643795,0.000643795
64,12528.3,1.19151,0.85523,1.22557,0.94769,0.92754,0.9373,0.61929,1.14081,0.66108,1.14672,0.000627292,0.000627292,0.000627292
65,12583.1,1.16816,0.80167,1.22407,0.94183,0.92984,0.94436,0.62948,1.11896,0.65201,1.14137,0.000610789,0.000610789,0.000610789
66,12636.8,1.15381,0.80103,1.20342,0.93249,0.9322,0.95492,0.64013,1.12316,0.62576,1.14539,0.000594286,0.000594286,0.000594286
67,12691,1.16124,0.78552,1.19938,0.84114,0.98665,0.9508,0.6603,1.09891,0.60788,1.12864,0.000577782,0.000577782,0.000577782
