epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.427,1.87091,2.57347,2.13492,0.69494,0.37993,0.38409,0.24802,2.02392,2.54723,2.22896,0.000470453,0.000470453,0.000470453
2,417.633,1.63631,1.95158,1.93855,0.69526,0.3595,0.35871,0.22072,1.97987,3.58134,2.3049,0.00092804,0.00092804,0.00092804
3,623.644,1.53811,1.83552,1.85894,0.85067,0.28563,0.39174,0.24456,1.9063,2.49006,2.19819,0.00136676,0.00136676,0.00136676
4,829.304,1.48015,1.73678,1.78917,0.44782,0.39687,0.40913,0.28483,1.89924,2.17199,2.11089,0.00134412,0.00134412,0.00134412
5,1034.51,1.45517,1.63435,1.75701,0.56488,0.42861,0.46642,0.28605,1.86847,2.17896,2.13768,0.00131582,0.00131582,0.00131582
6,1239.14,1.43529,1.60634,1.76942,0.45658,0.51179,0.47227,0.306,1.67875,2.31503,1.96095,0.00128753,0.00128753,0.00128753
7,1444.08,1.33667,1.4897,1.67183,0.54378,0.51245,0.50215,0.33191,1.66707,2.08124,1.88292,0.00125923,0.00125923,0.00125923
8,1648.79,1.30043,1.41253,1.63103,0.4836,0.41414,0.4264,0.2989,1.71736,2.19115,1.89383,0.00123094,0.00123094,0.00123094
9,1853.98,1.2856,1.39081,1.60612,0.56481,0.51053,0.50142,0.33803,1.6395,2.04815,1.90272,0.00120265,0.00120265,0.00120265
10,2059.5,1.29217,1.3824,1.61279,0.58882,0.51266,0.52492,0.35294,1.61709,1.78989,1.7953,0.00117435,0.00117435,0.00117435
11,2264.7,1.23097,1.29002,1.56028,0.62184,0.53155,0.54105,0.36895,1.62001,1.74392,1.81338,0.00114606,0.00114606,0.00114606
12,2469.52,1.24683,1.27634,1.56108,0.57509,0.50076,0.51526,0.3501,1.52281,1.7387,1.73073,0.00111776,0.00111776,0.00111776
13,2673.74,1.20467,1.26714,1.54438,0.57564,0.53551,0.53961,0.36588,1.61399,1.83122,1.80743,0.00108947,0.00108947,0.00108947
14,2878.57,1.20958,1.21369,1.52459,0.67314,0.58344,0.59036,0.39982,1.46842,1.47055,1.65781,0.00106118,0.00106118,0.00106118
15,3083.09,1.14962,1.17332,1.4799,0.69746,0.56875,0.57912,0.39323,1.50353,1.78341,1.66847,0.00103288,0.00103288,0.00103288
16,3288.4,1.13487,1.13783,1.46229,0.60348,0.57399,0.56094,0.39259,1.47565,1.83555,1.69485,0.00100459,0.00100459,0.00100459
17,3492.68,1.10896,1.09124,1.44681,0.74632,0.56918,0.58488,0.41175,1.42003,1.64578,1.63115,0.000976293,0.000976293,0.000976293
18,3698.09,1.1242,1.09324,1.44309,0.70241,0.57314,0.60491,0.42668,1.35482,1.59658,1.59277,0.000947999,0.000947999,0.000947999
19,3902.84,1.12629,1.08076,1.44171,0.70213,0.58221,0.59154,0.4124,1.33646,1.37104,1.54922,0.000919704,0.000919704,0.000919704
20,4107.3,1.10573,1.05544,1.43831,0.70483,0.58809,0.58752,0.41096,1.50088,1.72896,1.70982,0.00089141,0.00089141,0.00089141
21,4311.08,1.09722,1.05653,1.42521,0.71391,0.59827,0.62191,0.43213,1.36152,1.30451,1.56322,0.000863116,0.000863116,0.000863116
