epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,427.971,0.88581,1.69092,1.22537,0.83096,0.70231,0.85392,0.60201,1.01221,2.46437,1.49,0.000657778,0.000657778,0.000657778
2,622.618,0.87149,1.18121,1.1985,0.73966,0.75,0.80341,0.57612,0.88926,1.82149,1.31368,0.00131133,0.00131133,0.00131133
3,817.876,0.89671,1.16202,1.22295,0.97308,0.875,0.94467,0.63526,1.047,1.46932,1.42264,0.00195169,0.00195169,0.00195169
4,1009.24,0.93109,1.0195,1.23824,0.79502,0.76786,0.83178,0.60095,1.09182,1.38725,1.44721,0.0019406,0.0019406,0.0019406
5,1197.33,0.87826,0.87496,1.19029,0.9453,0.92587,0.95471,0.72838,0.9163,1.01402,1.36299,0.0019208,0.0019208,0.0019208
6,1378.62,0.81632,0.75889,1.15722,0.96407,0.95837,0.97006,0.7269,0.87379,0.82729,1.22714,0.001901,0.001901,0.001901
7,1559.11,0.821,0.69882,1.15094,0.92892,0.96429,0.97081,0.72876,0.8988,0.76226,1.22385,0.0018812,0.0018812,0.0018812
8,1738.92,0.79526,0.64661,1.13963,0.94277,0.94643,0.9757,0.76256,0.83395,0.69908,1.20504,0.0018614,0.0018614,0.0018614
9,1925.16,0.79588,0.65698,1.13452,0.90151,0.9807,0.96799,0.72118,0.91604,0.67634,1.31248,0.0018416,0.0018416,0.0018416
10,2111.09,0.77457,0.62104,1.11608,0.94736,0.96421,0.97481,0.73943,0.89433,0.66437,1.23525,0.0018218,0.0018218,0.0018218
11,2294.68,0.76968,0.59306,1.12,0.88246,0.98214,0.96911,0.72928,0.92339,0.62245,1.24005,0.001802,0.001802,0.001802
12,2494.84,0.76128,0.58659,1.11839,0.95208,0.96429,0.98786,0.76765,0.81414,0.57977,1.17731,0.0017822,0.0017822,0.0017822
13,2689.62,0.73905,0.55173,1.09338,0.94792,0.97509,0.98957,0.77019,0.8817,0.52058,1.24751,0.0017624,0.0017624,0.0017624
14,2875.45,0.71243,0.5363,1.09486,0.93004,0.98214,0.9704,0.76882,0.809,0.55081,1.17185,0.0017426,0.0017426,0.0017426
15,3060.44,0.7026,0.51294,1.06765,0.8948,0.94643,0.95746,0.75934,0.83055,0.66407,1.1887,0.0017228,0.0017228,0.0017228
16,3243.74,0.67911,0.49589,1.08803,0.95212,0.92857,0.9871,0.79217,0.79452,0.51098,1.19711,0.001703,0.001703,0.001703
17,3427.65,0.70181,0.50507,1.07862,0.97865,0.96429,0.98932,0.81096,0.78953,0.47254,1.14549,0.0016832,0.0016832,0.0016832
18,3611.55,0.67434,0.48194,1.06292,0.91791,1,0.98623,0.80174,0.77863,0.5571,1.14856,0.0016634,0.0016634,0.0016634
19,3796.21,0.67254,0.49212,1.06545,0.95794,0.98214,0.97652,0.80108,0.78967,0.48703,1.17632,0.0016436,0.0016436,0.0016436
20,3980.53,0.67286,0.48267,1.05738,0.94778,0.98214,0.99076,0.76116,0.83342,0.49123,1.18314,0.0016238,0.0016238,0.0016238
21,4167.57,0.67904,0.48503,1.07085,0.94986,1,0.9907,0.80196,0.78269,0.47378,1.1477,0.001604,0.001604,0.001604
22,4351.2,0.68523,0.48912,1.07274,0.97737,0.96429,0.98927,0.77954,0.82754,0.46898,1.19625,0.0015842,0.0015842,0.0015842
23,4534.66,0.67061,0.47353,1.06964,0.97777,0.98214,0.98842,0.78386,0.74523,0.44691,1.09615,0.0015644,0.0015644,0.0015644
24,4718.17,0.6553,0.45633,1.06414,0.98213,0.98157,0.98496,0.78988,0.78302,0.43253,1.14523,0.0015446,0.0015446,0.0015446
25,4902.31,0.64934,0.44114,1.05709,0.97984,0.98214,0.9888,0.82084,0.71233,0.41363,1.09896,0.0015248,0.0015248,0.0015248
26,5086.16,0.61983,0.42561,1.04112,0.98196,1,0.99167,0.80609,0.759,0.41675,1.13739,0.001505,0.001505,0.001505
27,5269.76,0.62396,0.42413,1.02646,0.98181,0.96395,0.98439,0.77121,0.81953,0.53674,1.20372,0.0014852,0.0014852,0.0014852
28,5453.47,0.62138,0.42926,1.03204,0.94331,0.96429,0.96681,0.78892,0.81115,0.48125,1.18119,0.0014654,0.0014654,0.0014654
29,5637.07,0.60185,0.4218,1.0144,0.96698,0.94643,0.98492,0.82408,0.67126,0.40145,1.0811,0.0014456,0.0014456,0.0014456
30,5820.85,0.61683,0.42422,1.03593,0.96441,0.96788,0.98515,0.801,0.75866,0.46468,1.17229,0.0014258,0.0014258,0.0014258
31,6004.81,0.59289,0.42273,1.02264,0.96298,1,0.98591,0.81578,0.73405,0.42651,1.12263,0.001406,0.001406,0.001406
32,6188.23,0.6109,0.41984,1.03191,0.96502,1,0.98451,0.81319,0.70721,0.39641,1.10855,0.0013862,0.0013862,0.0013862
33,6371.39,0.58333,0.41452,1.01967,0.96408,1,0.98894,0.81875,0.70268,0.39612,1.0954,0.0013664,0.0013664,0.0013664
34,6554.77,0.59913,0.40493,1.01583,0.95768,1,0.99096,0.80934,0.72285,0.38001,1.07102,0.0013466,0.0013466,0.0013466
35,6738.63,0.57638,0.38786,1.00491,0.97566,0.98214,0.98967,0.83819,0.68616,0.36254,1.05908,0.0013268,0.0013268,0.0013268
36,6922.48,0.56929,0.38936,1.00645,0.98244,0.99895,0.97939,0.81489,0.66756,0.35448,1.05609,0.001307,0.001307,0.001307
37,7103.44,0.56587,0.38495,1.00143,0.98032,0.98214,0.97842,0.79877,0.75434,0.39386,1.15782,0.0012872,0.0012872,0.0012872
38,7283.48,0.54603,0.3673,0.98953,0.9462,1,0.99057,0.81901,0.72559,0.39295,1.10831,0.0012674,0.0012674,0.0012674
39,7465.95,0.54611,0.37711,0.99477,0.98245,1,0.99219,0.82041,0.71556,0.3671,1.0829,0.0012476,0.0012476,0.0012476
40,7645.95,0.55551,0.37636,0.99218,0.96393,1,0.97869,0.81135,0.72637,0.39442,1.07641,0.0012278,0.0012278,0.0012278
41,7825.7,0.5521,0.38422,1.00436,0.96535,0.99513,0.99305,0.81261,0.73732,0.38013,1.10525,0.001208,0.001208,0.001208
42,8006.36,0.56392,0.37836,1.00343,0.96427,1,0.98978,0.81465,0.71794,0.37763,1.08307,0.0011882,0.0011882,0.0011882
43,8186.28,0.55174,0.3626,1.0052,0.96552,1,0.99032,0.8189,0.70371,0.38524,1.07932,0.0011684,0.0011684,0.0011684
44,8366.12,0.52787,0.36393,0.98551,0.96376,1,0.99031,0.81019,0.74223,0.36872,1.12069,0.0011486,0.0011486,0.0011486
45,8546.37,0.53899,0.36778,0.99214,0.97988,1,0.98044,0.80352,0.69528,0.34274,1.09182,0.0011288,0.0011288,0.0011288
46,8726.11,0.52475,0.35007,0.97599,0.9462,1,0.99143,0.8192,0.74285,0.36698,1.09562,0.001109,0.001109,0.001109
47,8906.09,0.5267,0.34845,0.97587,0.96416,0.96075,0.98941,0.82167,0.75137,0.36863,1.09971,0.0010892,0.0010892,0.0010892
48,9085.66,0.52194,0.36074,0.98138,0.96547,0.99871,0.98976,0.80826,0.78278,0.38486,1.15867,0.0010694,0.0010694,0.0010694
49,9265.84,0.50073,0.3501,0.97378,0.98245,0.99937,0.99132,0.81693,0.72439,0.36129,1.13394,0.0010496,0.0010496,0.0010496
50,9446.13,0.51521,0.34307,0.96556,0.94025,0.98214,0.9879,0.81975,0.66296,0.35849,1.06324,0.0010298,0.0010298,0.0010298
51,9625.68,0.50325,0.33971,0.96794,0.96413,1,0.98894,0.8267,0.67178,0.33252,1.04659,0.00101,0.00101,0.00101
52,9805.17,0.4981,0.33801,0.96683,0.96423,1,0.98948,0.82172,0.69055,0.3518,1.07438,0.0009902,0.0009902,0.0009902
53,9985.13,0.51016,0.34523,0.97987,0.96377,1,0.99144,0.82466,0.66625,0.32389,1.05144,0.0009704,0.0009704,0.0009704
54,10165.3,0.50351,0.33578,0.9707,0.96179,1,0.98948,0.82348,0.70185,0.34869,1.0642,0.0009506,0.0009506,0.0009506
55,10345.6,0.48472,0.32933,0.97053,0.96422,1,0.98144,0.80531,0.74047,0.33849,1.10011,0.0009308,0.0009308,0.0009308
56,10525.5,0.47188,0.33033,0.96611,0.98011,1,0.99009,0.83062,0.6731,0.32714,1.07071,0.000911,0.000911,0.000911
57,10705.2,0.46607,0.33513,0.96342,0.96447,1,0.99108,0.8344,0.68497,0.34971,1.09452,0.0008912,0.0008912,0.0008912
58,10885.4,0.46864,0.31566,0.95439,0.96444,1,0.98869,0.82174,0.68818,0.34481,1.05889,0.0008714,0.0008714,0.0008714
59,11065.4,0.47827,0.32801,0.96178,0.96394,1,0.98642,0.80664,0.69716,0.34549,1.09102,0.0008516,0.0008516,0.0008516
60,11245.9,0.4703,0.31647,0.96249,0.96533,0.99436,0.96569,0.79658,0.7099,0.35052,1.09558,0.0008318,0.0008318,0.0008318
61,11425.8,0.4912,0.33168,0.97412,0.97424,0.98214,0.99157,0.81502,0.75299,0.36994,1.11656,0.000812,0.000812,0.000812
62,11605.6,0.45994,0.31921,0.95594,0.96451,1,0.9841,0.80999,0.70287,0.34522,1.08954,0.0007922,0.0007922,0.0007922
63,11785.8,0.45837,0.30887,0.9604,0.96186,1,0.98957,0.81649,0.7485,0.37838,1.12664,0.0007724,0.0007724,0.0007724
