epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,483.266,1.59807,2.50127,1.27256,0.60534,0.58574,0.55011,0.31267,1.43317,2.14666,1.23488,0.000552545,0.000552545,0.000552545
2,957.689,1.56256,1.85833,1.27389,0.61539,0.63766,0.63109,0.35298,1.50889,1.8803,1.31053,0.00108627,0.00108627,0.00108627
3,1436.64,1.54687,1.65764,1.27603,0.61763,0.6805,0.66311,0.35266,1.59262,1.57089,1.39375,0.00159799,0.00159799,0.00159799
4,1909.87,1.54589,1.51636,1.28756,0.69551,0.72579,0.73698,0.41564,1.48517,1.33702,1.32827,0.00156798,0.00156798,0.00156798
5,2388.93,1.49907,1.43414,1.25202,0.71316,0.70404,0.67874,0.38415,1.46021,1.30458,1.287,0.00153497,0.00153497,0.00153497
6,2860.93,1.4626,1.29868,1.22573,0.70859,0.70297,0.72719,0.41053,1.48962,1.23999,1.28299,0.00150197,0.00150197,0.00150197
7,3328.81,1.44321,1.24079,1.22583,0.70868,0.71218,0.73939,0.41491,1.45006,1.18949,1.28346,0.00146896,0.00146896,0.00146896
8,3789.26,1.43823,1.21144,1.22177,0.74083,0.71365,0.76863,0.43442,1.47286,1.19299,1.29961,0.00143595,0.00143595,0.00143595
9,4256.48,1.43119,1.16083,1.21038,0.75298,0.77056,0.78605,0.4394,1.47308,1.05123,1.29626,0.00140295,0.00140295,0.00140295
10,4700.31,1.40827,1.12309,1.20517,0.77889,0.72154,0.79198,0.45589,1.4595,1.08421,1.28808,0.00136994,0.00136994,0.00136994
11,5143.79,1.4105,1.10276,1.19376,0.74654,0.74486,0.78304,0.44514,1.45829,1.05131,1.28048,0.00133693,0.00133693,0.00133693
12,5591.74,1.36971,1.05773,1.1811,0.75133,0.77638,0.795,0.4481,1.46033,0.98821,1.26887,0.00130393,0.00130393,0.00130393
13,6026.36,1.35381,0.99739,1.16522,0.78933,0.7354,0.78915,0.44731,1.46413,1.11568,1.32541,0.00127092,0.00127092,0.00127092
14,6459.12,1.34829,0.96767,1.16753,0.79836,0.76518,0.79242,0.43969,1.45903,0.98597,1.26692,0.00123791,0.00123791,0.00123791
15,6891.03,1.33602,0.98962,1.17337,0.788,0.73305,0.78909,0.46256,1.41207,1.04656,1.25412,0.00120491,0.00120491,0.00120491
16,7322.75,1.3152,0.93547,1.16057,0.80473,0.75031,0.81069,0.46476,1.48776,1.03451,1.30189,0.0011719,0.0011719,0.0011719
17,7755.88,1.29025,0.91986,1.14937,0.77776,0.73898,0.77919,0.44887,1.40538,0.9719,1.24275,0.00113889,0.00113889,0.00113889
18,8187.01,1.28415,0.88009,1.14633,0.78903,0.77237,0.8106,0.48054,1.4289,0.99716,1.26081,0.00110589,0.00110589,0.00110589
