epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5029.54,1.2476,0.91963,1.2935,0.66767,0.78565,0.67736,0.41064,1.38791,0.95555,1.32194,0.000990365,0.000990365,0.000990365
43,5149.19,1.25766,0.92003,1.30648,0.85323,0.80952,0.86325,0.49899,1.42242,0.8706,1.33793,0.000973861,0.000973861,0.000973861
44,5263.61,1.24077,0.87408,1.29368,0.80399,0.73481,0.83959,0.5235,1.39981,0.77574,1.28739,0.000957358,0.000957358,0.000957358
45,5382.5,1.24205,0.88003,1.27651,0.77669,0.83679,0.80108,0.47,1.37573,0.77206,1.31305,0.000940855,0.000940855,0.000940855
46,5501.96,1.20677,0.88644,1.28126,0.92037,0.79237,0.87566,0.55382,1.30676,0.78309,1.25601,0.000924352,0.000924352,0.000924352
47,5619.91,1.2191,0.89805,1.29781,0.8664,0.86111,0.82545,0.5093,1.3836,0.77131,1.29461,0.000907848,0.000907848,0.000907848
48,5737.34,1.21672,0.86843,1.28729,0.89845,0.88514,0.90087,0.5683,1.33328,0.71262,1.2392,0.000891345,0.000891345,0.000891345
49,5858.26,1.22435,0.87354,1.26653,0.89263,0.89683,0.92592,0.56671,1.37167,0.71803,1.28962,0.000874842,0.000874842,0.000874842
50,5973.84,1.18969,0.85649,1.25263,0.84414,0.87306,0.86236,0.5044,1.40355,0.77621,1.32627,0.000858338,0.000858338,0.000858338
51,6089.45,1.17508,0.86095,1.26283,0.87528,0.83471,0.8537,0.54239,1.31861,0.73291,1.25559,0.000841835,0.000841835,0.000841835
52,6207.19,1.17779,0.83747,1.25419,0.8998,0.85995,0.90299,0.53593,1.36793,0.72176,1.25567,0.000825332,0.000825332,0.000825332
53,6327.2,1.16234,0.82461,1.24171,0.88275,0.84271,0.88084,0.5698,1.31882,0.70242,1.2374,0.000808828,0.000808828,0.000808828
54,6444.38,1.11477,0.81033,1.21088,0.90247,0.87367,0.89456,0.56953,1.28861,0.69913,1.22484,0.000792325,0.000792325,0.000792325
55,6560.62,1.18497,0.79576,1.23869,0.8721,0.90476,0.91453,0.59291,1.35447,0.69112,1.26406,0.000775822,0.000775822,0.000775822
56,6679.4,1.14285,0.78603,1.2287,0.89747,0.91606,0.93626,0.61365,1.25711,0.65296,1.19742,0.000759318,0.000759318,0.000759318
57,6795.46,1.11287,0.78092,1.22439,0.92446,0.92114,0.93198,0.59147,1.24287,0.65169,1.20788,0.000742815,0.000742815,0.000742815
58,6913.1,1.14187,0.78995,1.22674,0.90107,0.87698,0.90835,0.61054,1.24416,0.65217,1.22187,0.000726312,0.000726312,0.000726312
59,7033.54,1.15318,0.80844,1.2498,0.88213,0.90501,0.92451,0.603,1.27291,0.64474,1.24284,0.000709809,0.000709809,0.000709809
60,7149.31,1.11816,0.75565,1.20852,0.91086,0.86508,0.91088,0.58458,1.21615,0.68645,1.19661,0.000693305,0.000693305,0.000693305
61,7262,1.0988,0.78011,1.20104,0.88663,0.92063,0.94525,0.61735,1.23171,0.6179,1.22976,0.000676802,0.000676802,0.000676802
62,7375.55,1.11988,0.78135,1.22427,0.89922,0.97194,0.95785,0.62434,1.15757,0.64009,1.15785,0.000660299,0.000660299,0.000660299
63,7490.44,1.12351,0.75881,1.21073,0.90762,0.95904,0.96677,0.64317,1.18011,0.58804,1.17806,0.000643795,0.000643795,0.000643795
64,7605.47,1.08485,0.7126,1.19414,0.88239,0.96747,0.95672,0.64839,1.1898,0.62706,1.18391,0.000627292,0.000627292,0.000627292
65,7719.71,1.0658,0.72838,1.20689,0.87821,0.98413,0.96783,0.63311,1.18948,0.58846,1.18343,0.000610789,0.000610789,0.000610789
66,7834.14,1.10033,0.72367,1.19881,0.91961,0.93254,0.9676,0.65543,1.19369,0.61687,1.18254,0.000594286,0.000594286,0.000594286
67,7949.21,1.11269,0.75899,1.21563,0.89174,0.94398,0.95635,0.6623,1.094,0.61465,1.14436,0.000577782,0.000577782,0.000577782
68,8065.72,1.0819,0.72619,1.19817,0.9287,0.94841,0.97083,0.68168,1.13615,0.6093,1.16506,0.000561279,0.000561279,0.000561279
69,8178.48,1.05601,0.71614,1.19387,0.85924,0.928,0.92832,0.65554,1.13677,0.63023,1.14885,0.000544776,0.000544776,0.000544776
70,8291.43,1.07413,0.70088,1.19529,0.89641,0.98413,0.95141,0.65062,1.17143,0.57256,1.15285,0.000528272,0.000528272,0.000528272
71,8409.78,1.03018,0.69007,1.1692,0.87317,0.92252,0.95381,0.65084,1.10593,0.55897,1.12048,0.000511769,0.000511769,0.000511769
72,8527.23,1.00281,0.66512,1.16225,0.93327,0.90839,0.96082,0.68772,1.12568,0.57745,1.12095,0.000495266,0.000495266,0.000495266
73,8641.64,1.00317,0.68403,1.15605,0.91165,0.96032,0.93205,0.64944,1.13589,0.58945,1.14244,0.000478762,0.000478762,0.000478762
74,8755.75,0.99695,0.69754,1.15591,0.94657,0.959,0.96418,0.70213,1.05554,0.53274,1.10151,0.000462259,0.000462259,0.000462259
75,8869.07,0.99513,0.65864,1.14587,0.9402,0.97795,0.96221,0.6961,1.06158,0.54212,1.10307,0.000445756,0.000445756,0.000445756
76,8984.55,1.01299,0.70285,1.17229,0.92231,0.95405,0.961,0.70066,1.05955,0.55103,1.10791,0.000429253,0.000429253,0.000429253
77,9101.61,0.98526,0.67048,1.14847,0.86718,0.95333,0.96559,0.67423,1.07941,0.565,1.11996,0.000412749,0.000412749,0.000412749
78,9215.77,0.9883,0.65241,1.13974,0.88777,0.98413,0.95616,0.66388,1.07091,0.54982,1.10834,0.000396246,0.000396246,0.000396246
79,9328.81,0.98706,0.65256,1.15631,0.87342,0.96465,0.97011,0.73117,1.02385,0.51476,1.0835,0.000379743,0.000379743,0.000379743
80,9443,0.9841,0.649,1.14819,0.94315,0.97006,0.98442,0.70505,1.0881,0.51718,1.1019,0.000363239,0.000363239,0.000363239
81,9558.77,0.98279,0.65397,1.14849,0.92875,0.95103,0.98155,0.74512,0.98622,0.50718,1.05873,0.000346736,0.000346736,0.000346736
82,9672,0.97065,0.65334,1.13069,0.92682,0.96712,0.98386,0.75567,0.99883,0.51363,1.06881,0.000330233,0.000330233,0.000330233
83,9789.47,0.94038,0.60322,1.12364,0.94403,0.953,0.98447,0.73953,1.02749,0.51756,1.08095,0.000313729,0.000313729,0.000313729
84,9907.69,0.97522,0.64972,1.14509,0.95179,0.98063,0.98405,0.74159,1.00838,0.47514,1.06475,0.000297226,0.000297226,0.000297226
85,10021.1,0.97636,0.67175,1.13452,0.94175,0.98413,0.98857,0.74351,1.00902,0.47788,1.06692,0.000280723,0.000280723,0.000280723
86,10134,0.93963,0.61203,1.13208,0.93816,0.98179,0.9884,0.77425,0.91875,0.46204,1.03087,0.00026422,0.00026422,0.00026422
87,10248.5,0.92169,0.60244,1.11306,0.93814,0.98413,0.98793,0.78556,0.92508,0.46417,1.03843,0.000247716,0.000247716,0.000247716
88,10362.7,0.90814,0.61218,1.10444,0.93175,0.98363,0.98841,0.7522,0.95855,0.46896,1.0475,0.000231213,0.000231213,0.000231213
89,10476.8,0.89372,0.60824,1.09294,0.92919,0.98413,0.98829,0.75482,0.94505,0.46551,1.04566,0.00021471,0.00021471,0.00021471
90,10587.4,0.90761,0.58033,1.10673,0.93105,0.97619,0.98742,0.7696,0.90304,0.45759,1.0318,0.000198206,0.000198206,0.000198206
91,10698,0.86792,0.49124,1.10243,0.94028,0.97619,0.98134,0.76689,0.91161,0.4536,1.02977,0.000181703,0.000181703,0.000181703
92,10811,0.83072,0.47092,1.07405,0.93973,0.98238,0.97784,0.78137,0.90151,0.46324,1.02257,0.0001652,0.0001652,0.0001652
93,10921.1,0.84183,0.4685,1.07393,0.93987,0.98413,0.97815,0.7725,0.89813,0.45066,1.02656,0.000148696,0.000148696,0.000148696
94,11029.7,0.81202,0.45463,1.05667,0.94317,0.9855,0.97689,0.77186,0.89128,0.44463,1.02337,0.000132193,0.000132193,0.000132193
95,11138,0.83065,0.44874,1.07989,0.94798,0.98413,0.9769,0.76936,0.88884,0.44456,1.02017,0.00011569,0.00011569,0.00011569
96,11249.1,0.80378,0.45431,1.06832,0.93368,0.98636,0.97962,0.77427,0.87789,0.44708,1.01884,9.91865e-05,9.91865e-05,9.91865e-05
97,11357.2,0.78262,0.43611,1.05437,0.9355,0.9801,0.98439,0.79065,0.86765,0.43548,1.01024,8.26832e-05,8.26832e-05,8.26832e-05
98,11466.9,0.80932,0.44404,1.07892,0.94133,0.98254,0.98672,0.78486,0.85235,0.42862,1.0072,6.61799e-05,6.61799e-05,6.61799e-05
99,11578,0.78551,0.44866,1.04755,0.94589,0.98413,0.98632,0.79263,0.85399,0.43277,1.00783,4.96766e-05,4.96766e-05,4.96766e-05
100,11690.9,0.80276,0.44125,1.0609,0.94788,0.98413,0.98632,0.78548,0.85342,0.43698,1.00745,3.31733e-05,3.31733e-05,3.31733e-05
